date,start,finish,state
"2020-09-02",10620,10680,"asleep"
"2020-09-02",10680,10740,"restless"
"2020-09-02",10740,14580,"asleep"
"2020-09-02",18720,18960,"wake"
"2020-09-02",18960,19500,"light"
"2020-09-02",19500,21780,"deep"
"2020-09-02",21780,23670,"light"
"2020-09-02",23670,24780,"rem"
"2020-09-02",24780,25470,"light"
"2020-09-02",25470,26730,"rem"
"2020-09-02",26730,30840,"light"
"2020-09-02",30840,31140,"rem"
"2020-09-02",31140,31500,"light"
"2020-09-02",31500,31770,"rem"
"2020-09-02",31770,31950,"light"
"2020-09-02",31950,32760,"wake"
"2020-09-02",32760,37800,"light"
"2020-09-02",37800,38130,"rem"
"2020-09-02",38130,38640,"light"
"2020-09-02",38640,40560,"wake"
"2020-09-02",40560,44220,"light"
"2020-09-03",15120,15150,"wake"
"2020-09-03",15150,16620,"light"
"2020-09-03",16620,16920,"deep"
"2020-09-03",16920,19830,"light"
"2020-09-03",19830,20610,"deep"
"2020-09-03",20610,20790,"light"
"2020-09-03",20790,21180,"rem"
"2020-09-03",21180,21510,"deep"
"2020-09-03",21510,22680,"wake"
"2020-09-03",22680,24660,"light"
"2020-09-03",24660,24930,"deep"
"2020-09-03",24930,25860,"light"
"2020-09-03",25860,26940,"deep"
"2020-09-03",26940,27420,"light"
"2020-09-03",27420,29010,"rem"
"2020-09-03",29010,29790,"light"
"2020-09-03",29790,30780,"deep"
"2020-09-03",30780,31140,"light"
"2020-09-03",31140,31470,"deep"
"2020-09-03",31470,33240,"light"
"2020-09-03",33240,35640,"rem"
"2020-09-03",35640,35910,"wake"
"2020-09-03",35910,37110,"light"
"2020-09-03",37110,37410,"wake"
"2020-09-03",37410,38550,"light"
"2020-09-03",38550,38880,"rem"
"2020-09-03",38880,40350,"light"
"2020-09-03",40350,43050,"rem"
"2020-09-03",43050,44130,"light"
"2020-09-04",10320,10680,"wake"
"2020-09-04",10680,12420,"light"
"2020-09-04",12420,12720,"rem"
"2020-09-04",12720,13470,"light"
"2020-09-04",13470,13920,"deep"
"2020-09-04",13920,16710,"wake"
"2020-09-04",16710,16980,"deep"
"2020-09-04",16980,21990,"light"
"2020-09-04",21990,22920,"rem"
"2020-09-04",22920,23340,"wake"
"2020-09-04",23340,25560,"light"
"2020-09-04",25560,25890,"deep"
"2020-09-04",25890,26370,"light"
"2020-09-04",26370,26790,"deep"
"2020-09-04",26790,27780,"light"
"2020-09-04",27780,28710,"rem"
"2020-09-04",28710,28770,"light"
"2020-09-04",28770,29070,"deep"
"2020-09-04",29070,29730,"rem"
"2020-09-04",29730,30240,"wake"
"2020-09-04",30240,33630,"light"
"2020-09-04",33630,34350,"deep"
"2020-09-04",34350,35190,"light"
"2020-09-04",35190,35520,"rem"
"2020-09-04",35520,38520,"light"
"2020-09-04",38520,41970,"rem"
"2020-09-04",41970,42330,"light"
"2020-09-04",42330,43350,"rem"
"2020-09-05",6060,6090,"wake"
"2020-09-05",6090,6630,"light"
"2020-09-05",6630,6960,"deep"
"2020-09-05",6960,7950,"light"
"2020-09-05",7950,8220,"deep"
"2020-09-05",8220,9720,"light"
"2020-09-05",9720,11520,"wake"
"2020-09-05",11520,16140,"light"
"2020-09-05",16140,18000,"rem"
"2020-09-05",18000,18900,"light"
"2020-09-05",18900,19410,"wake"
"2020-09-05",19410,21810,"deep"
"2020-09-05",21810,23400,"light"
"2020-09-05",23400,23700,"rem"
"2020-09-05",23700,26100,"light"
"2020-09-05",26100,27030,"wake"
"2020-09-05",27030,27360,"light"
"2020-09-05",27360,27660,"deep"
"2020-09-05",27660,30480,"light"
"2020-09-05",30480,30840,"deep"
"2020-09-05",30840,32130,"rem"
"2020-09-05",32130,34380,"light"
"2020-09-05",34380,34740,"rem"
"2020-09-05",34740,35700,"light"
"2020-09-05",35700,38820,"rem"
"2020-09-05",38820,39570,"wake"
"2020-09-05",39570,39810,"light"
"2020-09-05",39810,41310,"rem"
"2020-09-05",41310,41670,"light"
